koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,koi_kepmag
FALSE POSITIVE,0.773,0,0,1,0,1.626630225,169.820171,1.26,2.1145,1620.6,32.43,1547,1355.88,103.6,1,q1_q17_dr25_tce,5735,4.41,0.973,15.279
CONFIRMED,1,0,0,0,0,2.711504086,170.03417,0.023,3.0099,837.5,3.12,1420,960.79,64.5,1,q1_q17_dr25_tce,6214,4.442,1.076,15.541
CONFIRMED,1,0,0,0,0,7.21203748,172.81782,0.012,4.0491,950.4,3.32,1025,260.58,51.5,2,q1_q17_dr25_tce,6214,4.442,1.076,15.541
FALSE POSITIVE,,0,0,0,1,14.1798187,171.50237,0.1601,2.505,459.9,1.88,711,60.35,11.2,,,5799,4.539,0.878,15.727
CONFIRMED,1,0,0,0,0,8.47237911,174.16212,0.022,2.7245,1123.5,2.59,751,75.44,47.6,1,q1_q17_dr25_tce,5354,4.587,0.788,15.339
CONFIRMED,0.989,0,0,0,0,60.4189369,181.16367,0.094,5.039,931.3,2.36,390,5.49,20.1,2,q1_q17_dr25_tce,5354,4.587,0.788,15.339
CONFIRMED,1,0,0,0,0,12.61190435,180.892284,0.55,5.1497,6105.6,7.4,753,76.15,277.2,1,q1_q17_dr25_tce,5795,4.508,0.919,15.14
FALSE POSITIVE,0,0,1,0,0,1.433769925,170.403536,1.268,1.8868,1976.3,46.58,1920,3209.29,112.6,1,q1_q17_dr25_tce,6017,4.22,1.339,15.122
FALSE POSITIVE,0,0,1,1,0,10.31872301,173.31543,1.215,3.836,871.7,28.59,876,139.26,38.2,1,q1_q17_dr25_tce,5927,4.409,1.06,15.065
CONFIRMED,1,0,0,0,0,2.539183147,169.67494,0.238,2.4282,382.1,2.06,1332,743.09,38.9,1,q1_q17_dr25_tce,5519,4.35,1.062,15.026
CONFIRMED,1,0,0,0,0,6.770300385,170.57662,0.838,2.0844,1304,2.77,812,102.87,50.8,1,q1_q17_dr25_tce,5653,4.656,0.679,15.591
FALSE POSITIVE,0,0,1,1,1,0.444291966,169.865406,1.258,2.0792,10967,27.51,1836,2706.26,299.7,1,q1_q17_dr25_tce,5255,4.678,0.636,15.748
CONFIRMED,1,0,0,0,0,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,361,4,35.2,2,q1_q17_dr25_tce,3950,4.754,0.493,15.954
CONFIRMED,1,0,0,0,0,46.1842039,165.23729,0.013,4.758,1394.7,1.83,273,1.32,26,3,q1_q17_dr25_tce,3950,4.754,0.493,15.954
CONFIRMED,0.952,0,0,0,0,23.9800854,147.537,0.95,5.351,104,1.31,649,41.94,17.1,4,q1_q17_dr25_tce,5854,4.406,1.012,12.882
CONFIRMED,0.994,0,0,0,0,7.82502168,136.54995,0.708,2.186,520.8,1.2,494,14.05,15.9,4,q1_q17_dr25_tce,3950,4.754,0.493,15.954
CONFIRMED,1,0,0,0,0,3.895936525,170.527552,0.524,2.3111,8544.8,7.34,1005,241.62,370.8,1,q1_q17_dr25_tce,5557,4.592,0.774,15.725
CONFIRMED,0.999,0,0,0,0,22.36646466,175.45862,0.4,5.228,986.8,2.32,536,19.45,32.1,1,q1_q17_dr25_tce,5395,4.615,0.734,15.583
CONFIRMED,1,0,0,0,0,1.625522174,170.8266564,0.076,2.38963,7969,9.73,1579,1467.41,799.7,1,q1_q17_dr25_tce,5539,4.322,1.106,15.001
FALSE POSITIVE,0,1,0,1,0,7.544039,171.7982,1.175,6.222,322.6,17.47,838,116.46,14.2,2,q1_q17_dr25_tce,5657,4.567,0.824,15.559
CONFIRMED,1,0,0,0,0,9.02930689,177.20422,0.024,3.1449,1019.8,2.57,757,77.75,53.9,1,q1_q17_dr25_tce,5349,4.526,0.82,15.387
FALSE POSITIVE,0.053,0,1,0,0,10.32803571,174.581054,0.281,7.7915,16918,13.28,843,119.31,636.8,1,q1_q17_dr25_tce,5627,4.359,1.024,15.646
CONFIRMED,1,0,0,0,0,143.2063047,154.23552,0.379,8.9302,10566,8.9,308,2.14,138.8,2,q1_q17_dr25_tce,5485,4.556,0.867,15.403
CONFIRMED,0.95,0,0,0,0,6.164876,135.63916,0.646,3.262,55.8,0.79,1021,256.35,14.4,3,q1_q17_dr25_tce,5854,4.406,1.012,12.882
CONFIRMED,0.745,0,0,0,0,60.32494216,243.892578,0.224,6.6188,20280,12.19,411,6.77,347.2,1,q1_q17_dr25_tce,5485,4.556,0.867,15.403
CONFIRMED,,0,0,0,0,29.1598615,150.69922,0.3619,4.803,488,1.91,524,17.85,11.6,,,5485,4.556,0.867,15.403
FALSE POSITIVE,0,0,0,1,1,1.540397253,170.50479,1.225,2.1541,816.1,25.69,1470,1105.68,38.8,1,q1_q17_dr25_tce,5663,4.53,0.915,15.974
FALSE POSITIVE,0,0,0,1,1,2.99025443,171.9834,0.014,5.414,589.2,1.7,918,168.45,48.5,1,q1_q17_dr25_tce,4667,4.578,0.731,15.842
CONFIRMED,1,0,0,0,0,1.594745374,170.6483505,0.514,1.9604,15044,11.3,1539,1329.42,1009.3,1,q1_q17_dr25_tce,5934,4.491,0.893,15.53
CONFIRMED,1,0,0,0,0,4.783002698,170.508434,0.003,2.335,1008.7,2.5,886,145.48,70.6,1,q1_q17_dr25_tce,5170,4.574,0.807,15.119
CONFIRMED,1,0,0,0,0,20.50588921,181.43428,0.26,4.0595,2105.5,3.41,518,17.06,78.5,1,q1_q17_dr25_tce,4905,4.544,0.761,15.398
CONFIRMED,1,0,0,0,0,3.340218842,171.979062,0.466,1.9104,1632.6,2.03,656,43.73,71.6,1,q1_q17_dr25_tce,3950,4.754,0.493,15.954
FALSE POSITIVE,0,0,1,1,0,2.507089906,171.002455,1.255,2.0067,1339.2,30.26,1326,730.47,64.9,1,q1_q17_dr25_tce,5926,4.506,0.939,15.555
CONFIRMED,1,0,0,0,0,18.64932728,174.771,0.08,4.4056,893.6,3.12,701,57.13,46.1,1,q1_q17_dr25_tce,5775,4.405,1.053,15.386
CONFIRMED,1,0,0,0,0,4.90144976,138.60548,0.529,4.1654,140.7,1.7,1262,598.74,50.6,3,q1_q17_dr25_tce,5847,4.191,1.402,12.487
CONFIRMED,0.998,0,0,0,0,9.75192101,138.78608,0.949,4.793,418,2.76,870,135.66,28.5,3,q1_q17_dr25_tce,5775,4.405,1.053,15.386
CONFIRMED,1,0,0,0,0,38.5576546,163.85063,0.911,5.794,993,4.02,550,21.71,39.7,2,q1_q17_dr25_tce,5775,4.405,1.053,15.386
CONFIRMED,0.99,0,0,0,0,3.525632539,170.0479951,0.12,2.59959,22335,11.58,975,213.12,1996.7,1,q1_q17_dr25_tce,5150,4.572,0.793,15.224
CONFIRMED,1,0,0,0,0,7.748094239,174.997206,0.517,3.5957,2472.1,5.52,964,204.39,113.2,1,q1_q17_dr25_tce,5973,4.439,1.085,15.67
CONFIRMED,1,0,0,0,0,23.96793669,186.22182,0.416,3.827,1182.3,1.8,329,2.77,27.5,1,q1_q17_dr25_tce,3747,4.728,0.524,15.414
CONFIRMED,0.995,0,0,0,0,8.29561738,135.79284,0.888,1.3421,824.3,1.82,469,11.39,17.9,2,q1_q17_dr25_tce,3747,4.728,0.524,15.414
CONFIRMED,1,0,0,0,0,8.11437482,176.33968,0.573,2.2736,1558,2.1,460,10.55,56.4,1,q1_q17_dr25_tce,3692,4.753,0.517,15.877
FALSE POSITIVE,0,0,1,0,0,38.03672948,196.934947,0.501,4.34617,82872,27.5,500,14.81,1300,1,q1_q17_dr25_tce,5575,4.521,0.932,15.472
FALSE POSITIVE,0,0,1,1,1,3.747838198,171.66504,1.121,5.0642,616,13.65,1031,266.76,138.2,1,q1_q17_dr25_tce,5514,4.569,0.826,13.496
CONFIRMED,0.992,0,0,0,0,14.74914825,138.77799,0.173,6.0995,430.2,2.89,874,137.91,107.4,1,q1_q17_dr25_tce,5847,4.191,1.402,12.487
CONFIRMED,1,0,0,0,0,21.81295996,174.01085,0.053,4.3791,1175.4,3.38,639,39.33,37.8,1,q1_q17_dr25_tce,5601,4.41,0.999,15.54
FALSE POSITIVE,0,0,1,0,0,7.91936937,172.181092,0.733,3.3148,15148,10.34,814,104,389,1,q1_q17_dr25_tce,5690,4.588,0.776,15.805
CONFIRMED,1,0,0,0,0,15.37562369,173.61402,0.692,3.3169,15337,11.01,600,30.54,166,1,q1_q17_dr25_tce,4986,4.496,0.833,16.422
CONFIRMED,1,0,0,0,0,8.10363271,176.9486,0.047,3.161,887.9,2.11,687,52.82,39.3,1,q1_q17_dr25_tce,4861,4.574,0.732,15.289
CONFIRMED,1,0,0,0,0,4.71510843,134.96178,0.258,2.506,417.5,1.46,823,108.84,21.3,2,q1_q17_dr25_tce,4861,4.574,0.732,15.289
CONFIRMED,1,0,0,0,0,6.365839713,171.13575,0.524,2.9721,780.7,2.44,914,165.33,70.8,1,q1_q17_dr25_tce,5776,4.554,0.849,15.09
FALSE POSITIVE,0.037,0,0,1,0,5.97581754,174.77602,0.941,3.065,962.4,3.86,1047,284.25,50.3,1,q1_q17_dr25_tce,6108,4.471,0.997,15.546
FALSE POSITIVE,0,0,0,1,1,2.446737317,170.66951,1.241,4.7211,1177.9,26.25,1261,597.19,110.2,1,q1_q17_dr25_tce,5764,4.548,0.863,15.021
